@relation C:/Users/C2/Github/MSBA/datasets/RealDCweekdayholiday

@attribute 0 numeric
@attribute t1 numeric
@attribute t2 numeric
@attribute hum numeric
@attribute windspeed numeric
@attribute class {0,1}
@data
1,0.22,0.197,0.44,0.3582,0
1,0.2,0.1667,0.44,0.4179,0
1,0.16,0.1364,0.47,0.3881,0
1,0.16,0.1364,0.47,0.2836,0
1,0.14,0.1061,0.5,0.3881,0
1,0.14,0.1364,0.5,0.194,0
1,0.14,0.1212,0.5,0.2836,1
1,0.16,0.1364,0.43,0.3881,0
1,0.18,0.1667,0.43,0.2537,0
1,0.2,0.1818,0.4,0.3284,0
1,0.22,0.2121,0.35,0.2985,0
1,0.24,0.2121,0.35,0.2836,0
1,0.26,0.2424,0.3,0.2836,0
1,0.26,0.2424,0.3,0.2537,0
1,0.26,0.2424,0.3,0.2537,0
1,0.24,0.2273,0.3,0.2239,1
1,0.24,0.2576,0.32,0.1045,1
1,0.2,0.2576,0.47,0.0,0
1,0.2,0.2273,0.47,0.1045,0
1,0.18,0.197,0.64,0.1343,0
1,0.14,0.1515,0.69,0.1343,0
1,0.18,0.2121,0.55,0.1045,0
1,0.16,0.1818,0.55,0.1045,0
1,0.16,0.1818,0.59,0.1045,0
1,0.14,0.1515,0.63,0.1343,0
1,0.14,0.1818,0.63,0.0896,0
1,0.12,0.1515,0.68,0.1045,0
1,0.12,0.1515,0.74,0.1045,0
1,0.12,0.1515,0.74,0.1343,0
1,0.14,0.1515,0.69,0.1642,1
1,0.16,0.1515,0.64,0.2239,0
1,0.16,0.1364,0.69,0.3284,0
1,0.22,0.2121,0.51,0.2985,0
1,0.22,0.2273,0.51,0.1642,0
1,0.24,0.2273,0.56,0.194,0
1,0.26,0.2576,0.52,0.2239,0
1,0.28,0.2727,0.52,0.2537,0
1,0.3,0.2879,0.49,0.2537,0
1,0.28,0.2727,0.48,0.2239,1
1,0.26,0.2576,0.48,0.194,1
1,0.24,0.2576,0.48,0.1045,0
1,0.24,0.2576,0.48,0.1045,0
1,0.22,0.2727,0.64,0.0,0
1,0.22,0.2576,0.64,0.0896,0
1,0.2,0.2273,0.69,0.0896,0
1,0.2,0.2576,0.64,0.0,0
1,0.16,0.197,0.74,0.0896,0
1,0.16,0.197,0.74,0.0896,0
1,0.24,0.2273,0.48,0.2239,0
1,0.22,0.2273,0.47,0.1642,0
1,0.2,0.197,0.47,0.2239,0
1,0.18,0.1818,0.43,0.194,0
1,0.2,0.1818,0.4,0.2985,1
1,0.22,0.197,0.37,0.3284,0
1,0.22,0.197,0.37,0.3284,0
1,0.26,0.2273,0.33,0.3284,0
1,0.26,0.2273,0.33,0.3284,0
1,0.28,0.2576,0.3,0.2985,0
1,0.3,0.2879,0.28,0.194,0
1,0.3,0.2879,0.28,0.194,0
1,0.3,0.3182,0.28,0.0896,0
1,0.24,0.2273,0.38,0.194,1
1,0.24,0.2424,0.38,0.1343,1
1,0.24,0.2576,0.38,0.1045,0
1,0.22,0.2273,0.47,0.1642,0
1,0.2,0.197,0.51,0.194,0
1,0.18,0.197,0.55,0.1343,0
1,0.2,0.2576,0.47,0.0,0
1,0.18,0.2424,0.55,0.0,0
1,0.16,0.2273,0.64,0.0,0
1,0.16,0.2273,0.64,0.0,0
1,0.16,0.197,0.64,0.0896,0
1,0.14,0.1818,0.69,0.0896,0
1,0.14,0.1667,0.63,0.1045,0
1,0.16,0.2273,0.59,0.0,0
1,0.16,0.2273,0.59,0.0,1
1,0.18,0.2424,0.51,0.0,0
1,0.2,0.2576,0.47,0.0,0
1,0.22,0.2576,0.44,0.0896,0
1,0.26,0.2879,0.35,0.0,0
1,0.26,0.2727,0.35,0.1045,0
1,0.28,0.2727,0.36,0.1642,0
1,0.28,0.2727,0.36,0.0,0
1,0.26,0.2576,0.38,0.1642,0
1,0.22,0.2273,0.51,0.1642,1
1,0.22,0.2273,0.51,0.1343,1
1,0.22,0.2576,0.55,0.0896,0
1,0.2,0.2121,0.51,0.1642,0
1,0.22,0.2121,0.55,0.2239,0
1,0.22,0.2121,0.51,0.2836,0
1,0.2,0.197,0.59,0.194,0
1,0.2,0.197,0.64,0.194,0
1,0.2,0.197,0.69,0.2239,0
1,0.2,0.197,0.69,0.2239,0
