@relation artificial_holiday.arff

@attribute t1 numeric
@attribute t2 numeric
@attribute hum numeric
@attribute windspeed numeric
@attribute class {0,1}

@data
8,6,82,10,0
8,5.5,79,14,0
7.5,5.5,84.5,12,0
7,5,87,11,0
7,6,93,6,0
6.5,4.5,93,8,0
7,5.5,90,7.5,0
7,6,93,7,0
7.5,7.5,93,4,0
8.5,7.5,93.5,6,0
9.5,8.5,91,7,0
10,10,88,5,0
11.5,11.5,82.5,5,1
12,12,79.5,6.5,1
12,12,79.5,6.5,1
12,12,77,7,1
12,12,79.5,8,1
11.5,11.5,85,8,0
11,11,94,11,0
11,11,94,9,0
10,9,94,9,0
10,9,94,9,0
9.5,9,97,6.5,0
9.5,8.5,91,7,0
6.5,5.5,76,6,0
6.5,5.5,73.5,6,0
6,4.5,76,6.5,0
6,4,76,7,0
6,4,78.5,9,0
5.5,3.5,84,10,0
5,2,87,13,0
5.5,3,90,12,0
7.5,5.5,84.5,12,0
10,9.5,74,10,0
12.5,12.5,69.5,9,1
14.5,14.5,57,14,1
15.5,15.5,55.5,22,1
15,15,61,20,1
14,14,67,16,1
13.5,13.5,69.5,18,1
10.5,9,76.5,21,1
10,8,73.5,17,1
10,8,67,16,1
9,7,71,14,1
9,7,71,15,0
8.5,5.5,73.5,17,0
8,5,76,16,0
7.5,5,78.5,14,0
14,14,74.5,24,0
14,14,72,30.5,0
13.5,13.5,77,21,0
13,13,77,19.5,0
13,13,77,20.5,0
12.5,12.5,79.5,16,0
12.5,12.5,77,18.5,0
13,13,69.5,18.5,0
13.5,13.5,65,20.5,0
14,14,55,19.5,0
15.5,15.5,48,19.5,1
16,16,48,14,1
17.5,17.5,44,16,1
18,18,44.5,18,1
18,18,47.5,19.5,1
17,17,52,14,1
17,17,56,14,1
16,16,61,11,1
15.5,15.5,65.5,12,1
15,15,68,16,1
14,14,82,18,0
13.5,13.5,88,22.5,0
12.5,12.5,91,27,0
12,12,94,21.5,0
13.5,13.5,69.5,14,0
12.5,12.5,67,18,0
12,12,63,11,0
11.5,11.5,62.5,11,0
11,11,64.5,11,0
11,11,64.5,10,0
12,12,60.5,12,0
12,12,65,15,0
13,13,63,19,0
13,13,63,18,1
13,13,63,18,1
14.5,14.5,57,16,1
15,15,55,15,1
15,15,55,15,1
15.5,15.5,53.5,15,1
15,15,57,14,1
15.5,15.5,55,8,1
16,16,55,11,1
16,16,55,13,1
15,15,59,14,1
15,15,59,15,1
15,15,61,18,0
14,14,67,8.5,0
14,14,67,7,0
16.5,16.5,82.5,9.5,0
16,16,88,10,0
16,16,88,11,0
16,16,88,6.5,0
16,16,88,6,0
15.5,15.5,91,8,0
15,15,94,8,0
15,15,94,7.5,0
15,15,94,11,0
16,16,88,11,0
16,16,88,10,0
15,15,94,11,0
15,15,94,10,0
15.5,15.5,91,9,0
16,16,88,10,0
16,16,88,16,0
15.5,15.5,91,13,1
15,15,94,12,1
15,15,88,15,1
15.5,15.5,85.5,13,0
15,15,88,12,0
