@relation artificial_weekend.arff

@attribute t1 numeric
@attribute t2 numeric
@attribute hum numeric
@attribute windspeed numeric
@attribute class {0,1}

@data
3,2,93,6,0
3,2.5,93,5,0
2.5,2.5,96.5,0,0
2,2,100,0,0
2,0,93,6.5,0
2,2,93,4,0
1,-1,100,7,0
1,-1,100,7,0
1.5,-1,96.5,8,0
2,-0.5,100,9,0
3,-0.5,93,12,0
2,-1.5,100,12,0
2,-1.5,96.5,13,1
3,-0.5,87,15,1
2.5,0,90,8,1
2,-1.5,93,11,1
3,0,93,12,0
3,0,93,11,0
3,1.5,93,6.5,0
3,1,93,7,0
3,3,93,4,0
3,2.5,93,5,0
3,2,93,6,0
4,3.5,87,5,0
14,14,77,39,0
14,14,77,40,0
14,14,72,40.5,0
13,13,77,41,0
13,13,77,36,0
13,13,77,35,0
13,13,82,35,0
13,13,79.5,35,0
14,14,74.5,40,0
14,14,77,48,0
14,14,74.5,41,0
11.5,11.5,67.5,42.5,0
11.5,11.5,58,41.5,1
10.5,8.5,54,38,1
9,4.5,54,42.5,1
9,5,48,35,1
8,4,51.5,27,1
8,4,51.5,29,1
7,3,55,26,1
6,2,57,26,0
6,2,57,25,0
6,2,57,21,0
5,1,66,20,0
5,1,66,19.5,0
4.5,0.5,72.5,22,0
4,-0.5,75,22,0
4,-0.5,75,23,0
4,-1,75,27,0
4,-1,72.5,28,0
4,-1,70,27,0
4.5,0,68,24,0
5,1,66,24,0
5,0,66,29.5,0
5.5,0.5,63.5,29,0
6.5,2,61,30,1
7.5,3.5,59,27,1
8.5,4.5,55.5,27,1
9,5,56,28,1
9,5,60,28,1
8.5,5,64,26,1
8,4.5,66,23,1
8,5,71,20.5,0
8,4,73.5,25,0
8,4,73.5,24,0
8,4.5,71,26,0
8,4,71,30,0
9,5,66,37,0
9,5,71,30.5,0
2,-2,81,13,0
2,-1.5,81,12,0
1,-3,81,14,0
1,-3,81,15,0
1,-2,81,10,0
0.5,-2.5,77.5,8,0
0.5,-3,77.5,10,0
1.5,-2.5,72.5,16,0
2.5,-1.5,67.5,15,0
3.5,-0.5,65,16,0
4,0,70,21,0
5,1.5,73,18.5,1
6.5,3.5,73.5,17,1
6,2.5,73.5,20.5,1
7,4,66,17,1
6,3,71,18,1
6,3,71,15,1
5,2.5,76,10,1
5,2,76,13,0
5,2,76,12,0
5,3,81,9,0
5,2.5,76,10,0
5,3,76,7,0
5,2.5,78.5,9,0
5,3,76,7,0
5,3.5,76,6.5,0
5,3,81,8,0
4.5,3,84,6.5,0
4,4,87,0,0
4,3.5,90,5,0
4,3.5,90,5,0
4,3.5,87,5,0
4,3.5,93,5,0
4,2.5,90,6.5,0
4,2,87,9,0
4,1.5,84,9,1
4,1,81,12,1
4,1,81,12,1
4,1,75,14,1
4,1,75,13,1
3,2,81,6,1
3,3,81,4,1
