@relation artificial_weekday.arff

@attribute t1 numeric
@attribute t2 numeric
@attribute hum numeric
@attribute windspeed numeric
@attribute class {0,1}

@data
4,3,93,6,0
4,3.5,93,5,0
5,4,87,6,0
6,4.5,84,7.5,0
6.5,5,84,8,0
6,5.5,87,5,0
7,6.5,81,5,0
7,6,81,6.5,1
8,7.5,79,5,1
8,7,82,6,1
9,8,84.5,6.5,0
9,7.5,90.5,10,0
10,8,85,11,0
10,8.5,82,10,1
10,9,82,9,0
10,8.5,79,10,0
10,8.5,73.5,13,1
9.5,7.5,73.5,12,1
9.5,7.5,69,14,1
9,6.5,71,14,1
9,7,71,14,0
9,7,71,11,0
9,7.5,71,10,0
8.5,7.5,73.5,8,0
8,6.5,76,8,0
8,6.5,76,8,0
8,6,76,11,0
8,5.5,76,14,0
8.5,6.5,73.5,11,0
8,5.5,82,14,0
8,5,84.5,15,0
9,7,82,13,1
9,7,82,12,1
9,6.5,87,16,1
10,7.5,88,19.5,0
10,8,88,18,0
11,11,85,19,0
9.5,6,84.5,27.5,0
9,6,71,26,0
8,4.5,71,23,0
8,5,68.5,19.5,1
7.5,4,71,22,1
7,4,71,17.5,1
6,3,76,15,1
5.5,2.5,78.5,15,0
5,2,81,15,0
4.5,1.5,81,13,0
4,1,84,12,0
4,1,81,12,0
4,1,81,11,0
4,1.5,81,10,0
3.5,1,84,9,0
4,1.5,81,10,0
4,2,87,9,0
5,2.5,81,10,0
5.5,2.5,81,13,1
6.5,3.5,81,15,1
8,5,76,19,1
8,5,82,19.5,0
9,6,76,21,0
9,5.5,76,27,1
9.5,6,71.5,28,1
10,6.5,62,28.5,0
9,6,68.5,25,0
9,6,76,25,1
9.5,6.5,71.5,24,1
10,7,71,30,1
10,6.5,79,30.5,0
10,7,82,27,0
10,7,82,27,0
10,7,85,24,0
11,11,82,26,0
11.5,11.5,85,24,0
12,12,82,25,0
12,12,85,22,0
12,12,88,20.5,0
12,12,80,20.5,0
11.5,11.5,74.5,17,0
10.5,9.5,82.5,17,1
9.5,7.5,87.5,14,1
9,7,87,13,0
9,7,87,14,0
9,6,82,20.5,0
9,6.5,84.5,17,0
9,5.5,79,27,0
10,7,71,22,0
9,6,71,22,0
9,6,71,19.5,1
9,6,76,22,1
8.5,5.5,73.5,22.5,1
8,5,73.5,20.5,1
8,5,76,17,0
8,4.5,76,20.5,0
8.5,5.5,73.5,21,0
9,5.5,76,27,0
10,7,71,28,0
10,7,73.5,30,0
10,6.5,79,29.5,0
11,11,79.5,29,0
11,11,85,33,0
11.5,11.5,85,33,0
12,12,82,32.5,0
12,12,82,31.5,1
12,12,79.5,25,1
12,12,74.5,30,1
12.5,12.5,69.5,29.5,0
13,13,67,28,0
13,13,67,26,1
13,13,63,30,1
13,13,63,26,1
13.5,13.5,67.5,33.5,1
13,13,79.5,37,1
13.5,13.5,85,35,1
15,15,82,36,1
15.5,15.5,77,41,1
15,15,72,44,0
15,15,68,41,0
15,15,68,40,0
14,14,77,41.5,0
9,5,68.5,29,0
10,6,60,34,0
10,7,64.5,30,0
10,6.5,67,30.5,0
10,6.5,67,33.5,0
10,6,67,35,0
10,6,73.5,31,0
10,7,76,30,1
10,6,76,31,1
11.5,11.5,67,32.5,1
12,12,67,33,0
12,12,74.5,39,0
12,12,79.5,29.5,0
12,12,79.5,29.5,0
12.5,12.5,77,33,0
12,12,82,25,0
12,12,82,22.5,0
11.5,11.5,88,22,1
11,11,94,22,1
11.5,11.5,85,22,1
12,12,82,20,0
12,12,85,18.5,0
12,12,88,21,0
12,12,88,23,0
12,12,88,25,0
12,12,88,30,0
11.5,11.5,88,24.5,0
11,11,85,19,0
11,11,82,21,0
10.5,9,79.5,21,0
10,7.5,82,20.5,0
9.5,6.5,79,21,1
9,6.5,71,16,1
9,6,71,18,1
9,6.5,71,17.5,1
9,6,68.5,18,1
9.5,6.5,64,20.5,1
9,5.5,73.5,27.5,0
8.5,4.5,71,29,0
8,4.5,73.5,21.5,1
7.5,4,68.5,23,1
7,3,71,22,1
7,4.5,71,14,1
6,2.5,76,19.5,1
5.5,1.5,76,21,1
5,1,76,23,0
5,2,76,17,0
5,1,70,19.5,0
5,0.5,66,26,0
5,0,66,30,0
5,0.5,66,24,0
4.5,0.5,72.5,21,0
4.5,1.5,72.5,14,0
5,1.5,70,17.5,0
5,1,70,23,0
4.5,-1,68,30.5,1
4,-1,70,26,1
4.5,-0.5,68,29,1
5,0,70,30.5,0
5.5,1,65.5,27,0
6.5,2.5,59,27,1
7,3,57,24,1
7,3.5,55,22,1
7,4,55,18,1
7,4.5,59,16,1
7.5,4.5,64,16,1
8,4.5,71,21.5,1
9,5.5,71,27,1
10,6,69,31,1
10,6,71,38,0
9.5,5.5,76.5,39,0
10,6,79,40,0
10,6,82,40,0
11,11,79.5,40,0
11,11,82,44.5,0
11.5,11.5,79.5,45,0
11,11,77,37,0
10,6.5,79,31.5,0
9.5,5.5,73.5,29.5,0
9,6,73.5,23,1
9,6,66,21,1
9,6,73.5,19.5,1
9,6,76,21,1
9,6,66,26,0
8.5,5,71,25,0
9,5,64,32.5,1
9,5,60,30.5,0
9,5,52,36,1
8,4,53,29,1
7.5,3.5,55,29.5,1
7,3,57,29.5,1
8,4,51.5,29.5,1
7,2,51,34,0
6.5,1.5,57,32,0
6.5,1.5,59,33,0
7,3,57,29.5,0
7,3,53,31,0
7,3,53,27.5,0
6.5,2.5,59,22,0
6.5,2.5,59,25,0
6.5,3,55,20.5,0
6.5,3,55,20.5,0
7,4,55,18.5,0
7,4.5,59,15,1
7,4.5,61,15,1
6,3,71,13,1
6.5,3.5,68.5,17,1
6,2.5,76,19.5,0
6,3,73.5,17,1
7,4,68.5,15,1
7,4.5,66,15,1
7,4,66,15,1
6,2,68.5,23.5,1
5.5,2.5,76,14,1
5,1.5,73,16,1
4,1,72.5,12,1
4,2,72.5,9,0
3,0,75,11,0
2.5,-1.5,72.5,15,0
2.5,-1,81,12,0
0,-3,93,8,0
0.5,-2.5,93,8,0
1,0,93,5.5,0
0.5,-0.5,93,3.5,0
0.5,-1,93,4.5,0
1,-1,93,6.5,0
1,-1,90,7,0
1,-1,90,6.5,1
2,-0.5,84,7.5,1
2,-0.5,87,8,1
3,1,75,7.5,0
3.5,3,72.5,3,0
4,1.5,70,9,1
4,2,70,8,1
5,3.5,66,7.5,0
5,4,63.5,6,1
4,2.5,67.5,6.5,1
3.5,2.5,72.5,6,1
3.5,2.5,72.5,6,1
3.5,1.5,72.5,7,1
3,1.5,75,6.5,1
2.5,1.5,78,5.5,0
2,1,75,3,0
2,2,81,2,0
1,0,87,3,0
0.5,-1,90,6.5,0
0,-1,93,3,0
-0.5,-0.5,90,4,0
-1,-2,93,3,0
-0.5,-0.5,93,4,0
-1,-2,93,5,0
-1,-3.5,96.5,6.5,1
-0.5,-3.5,96.5,7,1
0,-3,93,9,1
1,0,87,5,0
2.5,1,78,6,0
3.5,1,78,9,1
4.5,2,72.5,9,1
5,2,68,11,0
4,1,75,13,1
4,1,78,13,1
4,1,78,12,1
4,1,75,12,1
4,1,72.5,13,1
4,1,70,14,0
4,0.5,70,16,0
4,0.5,70,17.5,0
4,0,70,18.5,0
3.5,-0.5,72.5,18,0
3,-1.5,81,18.5,0
3,-1,81,19,0
3,-1,81,17,0
3,-1,84,16,0
3,-0.5,87,14,0
3,-1,87,18,0
3,-1,87,18,1
3,-1,87,18,1
3,-1,87,18,1
3,-1,87,17,0
3,-1,87,16,0
3,-1,87,17,0
3.5,0,84,16,0
3,-1,87,17,0
3,-1,87,18,0
3,-1,87,16,1
3,-0.5,84,14,1
3,0,87,11,1
3,0,87,13,1
3,0.5,81,9,1
3,2,81,6,0
3,2,81,6,0
3,2.5,81,3,0
2.5,2.5,84,2,0
2,2,87,2,0
2,2,87,2,0
2,1,87,5.5,0
2,1,87,5,0
2,1,87,5,0
2,2,84,2,0
2,2,81,2,1
2,1,81,5,1
2.5,2.5,78,2,1
4,1.5,70,9,0
4,1.5,67.5,10,0
5,2,59,13,1
5,2,57,13,1
4.5,1.5,59,14,1
4,1,61,13,1
4,1,63,12,1
3.5,0.5,63,12,1
3,0,65,9,1
2,0,70,6.5,1
2,0,70,6.5,1
0,-2,80,6,0
0,0,80,2,0
0,-1,80,3,0
-0.5,-2,86.5,5.5,0
-1,-3,86,6,0
-1,-3,86,6,0
-0.5,-1.5,83,5,0
-1,-2,86,5,0
-1,-3,86,6,0
-1.5,-2.5,89.5,5,0
-1,-3.5,86,6.5,1
-0.5,-3.5,83,7,1
0.5,-2,84,6.5,1
2,-0.5,75,7.5,1
3.5,0.5,67.5,12,0
4.5,1,65.5,16.5,1
5,1.5,66,17.5,1
5,1,66,19.5,1
5,2,66,17,1
4,1,75,12,1
4,1,75,14,1
4.5,1.5,78.5,14,1
6,2.5,76,18.5,1
6.5,2.5,78.5,24,0
7,4,87,20,0
7.5,3.5,87,23,0
8,4,87,24,0
8,5,87,19,0
8.5,5.5,87,18,0
9,6,87,21.5,0
9,6,87,19.5,0
9,6.5,87,16,0
9.5,7,84.5,17,0
10,7.5,82,18.5,0
10,7.5,88,18.5,1
10,8,85,18,1
10.5,9,85,19.5,1
10,7.5,85,16.5,0
10,7,71.5,23,0
10,7,62.5,24,0
9,6,64,19.5,1
9,6,60,22,0
8,4.5,62,23,1
8,4.5,62,21.5,1
8,5,62,19,1
7.5,4.5,64,18,1
7,4,66,20,1
7,4,66,17,1
6.5,3.5,68.5,17,0
6,3,76,14,0
6,3,76,15,0
5.5,2.5,76,14,0
5,2,78.5,15,0
5,2,76,14,0
5,2,76,12,0
5,2,76,12,0
5.5,2.5,78.5,13,0
6,3.5,76,12,0
6,3,76,15,1
5.5,2.5,78.5,15,1
6.5,3.5,73.5,15,1
7,4,73.5,18,1
8,5,71,19,0
9,6,66,17,1
9,6,66,19.5,1
9,6,68.5,19,1
8,5.5,71,16,1
8,6,71,11,1
8,7,71,7,1
8,6,71,11,1
8,4.5,71,22,1
8,5,64,19.5,1
8,5,66,18,0
7,4,71,15,0
7,4,71,18,0
7,4,73.5,19.5,0
7,3,76,23,0
7,3,76,22,0
7,3,81,25,0
8,4.5,76,22,0
8,4.5,82,23,0
9,5.5,79,24,0
9,6,87,24,1
10,7,88,24,1
10,7,88,29,1
10.5,9,91,32.5,0
10.5,8.5,67,40,0
7.5,2.5,73.5,41.5,0
6.5,1.5,71,38,0
7,2,59,37,0
6.5,1.5,55,37,0
6,1,53,34,1
5.5,0.5,53,33.5,1
5,0,53,31.5,1
5,0.5,57,26,1
4,-1,63,27,1
4,-1,65,29,0
4,-1,65,29,0
3.5,-1.5,72.5,28,0
3,-2,75,26,0
3,-3,78,30,0
3,-3,75,30,0
3,-2.5,75,29.5,0
3,-2,75,28,0
3,-2,75,28,0
3,-2,81,22,0
3,-2,81,21,1
3,-2,81,24,1
4.5,-0.5,72.5,26,1
5.5,1,68,27,0
6,1,63.5,35,0
6,1,61,30.5,1
6.5,1.5,59,31.5,1
6.5,1.5,59,31.5,0
4.5,-0.5,78.5,28.5,0
4,-0.5,75.5,25,1
3,-1.5,75,20.5,1
3,-1.5,75,19.5,1
3,-2,75,26,1
3,-2,72.5,26,0
2.5,-2.5,81,23,0
2.5,-2.5,78,24,0
3,-2,75,25,0
3,-2,75,24,0
3,-2,81,22,0
3,-1,81,17,0
3.5,-0.5,75.5,17,0
4,0,78,19.5,0
3,-0.5,87,15,0
3,0.5,93,9,0
2.5,0,90,9,1
2,-2.5,90,18.5,1
2,-2.5,87,16,1
2.5,-1.5,84,16,0
4,0,75,18.5,0
5.5,1.5,73.5,20,1
6,2,66,23,1
6,2,71,21,1
6,2.5,71,19.5,1
6,2.5,71,16.5,1
5.5,2.5,70.5,17,1
5.5,1.5,66,19.5,1
4.5,1.5,68,14,1
5,1.5,68,17,0
4,0.5,72.5,16.5,0
3,-0.5,81,16,0
3,-1,75,18,0
1,-3,65,13,0
1,-2.5,65,12,0
0,-4,69,13,0
-1,-6,69,16,0
-1,-5.5,69,13,0
0,-4,64,12,0
-0.5,-4.5,66.5,14,0
0,-4.5,69,16,1
0.5,-3.5,67,12,1
1.5,-2.5,62.5,15,1
2,-2,60,16,0
2,-2,60,17,0
2.5,-1.5,58,14,0
3,-0.5,58,14,0
3,-1,60,16,0
3,-0.5,60,14,0
3,-1,60,15,1
2,-1.5,65,11,1
2,-1,67.5,11,1
2,-1,67.5,9,1
1.5,-1,67.5,8,0
1,-1,67.5,7,0
1,-1.5,70,8,0
0.5,-2,69.5,7,0
1,-1.5,75,8,0
1,-2,81,9,0
1,-2,87,9,0
1,-1,90,6.5,0
1,-1,93,6.5,0
1,-1,93,6.5,0
1,-1.5,93,8,0
1,-1.5,93,9,1
1,-3,93,15,1
1,-3,93,13,1
2,-1.5,87,11,0
2.5,-1,87,13,0
3,-1.5,81,17.5,0
4,0,75,17,0
4,0.5,78,17,0
4,0,81,17,0
4,1,81,15,1
4,1,75,15,1
3,0,81,11,1
3,0,84,11,1
2,-2,93,13,0
2,-1.5,87,12,0
2.5,-0.5,84,11,0
2,-2,87,13,0
2,-1.5,87,11,0
2,-0.5,87,8,0
1.5,-1,84,8,0
1,-1,87,7,0
1,-2.5,87,12,0
1,-2.5,93,13,0
2,-1,87,10,0
2,-1.5,87,12,1
2,-1.5,87,12,1
2,-2,87,15,1
2.5,-1.5,84,18,0
3.5,-0.5,75,18,0
4,0,70,19,1
4,0.5,70,16,0
4.5,0.5,72.5,18,0
5,1.5,70,18,0
5,2,73,16,1
4,0,75,19,1
4,0,75,19,1
4,1,75,15,1
3,-0.5,81,15,0
3,0,81,13,0
3,0,81,12,0
3,-0.5,81,15,0
2.5,-1,84,13,0
2,-1.5,87,13,0
2.5,-1,84,14,0
3,-1,81,15,0
3,-0.5,81,14,0
3,-1,81,17,0
2.5,-2.5,87,20,0
2,-2,87,16,1
2,-1,87,11,1
2,-1.5,93,13,1
2.5,-1.5,90,14,0
3,0,87,13,0
4,0,81,17,0
5,2,73,17,1
5,1,65.5,19.5,0
5,1,53,21,0
4.5,0.5,59.5,20.5,1
3,-1.5,67.5,18.5,1
3,-0.5,70,16,1
2,-2,75,16,1
2,-2,81,17,1
2,-2,75,16,0
2,-2,75,17,0
2,-2,70,16,0
1.5,-2.5,72.5,16,0
1.5,-2.5,72.5,16,0
1,-3,75,17,0
1,-3,75,15,0
1,-3.5,75,18.5,0
2,-3,67.5,19,0
2,-3,70,19,0
2,-3,70,20,1
2,-3,70,22,1
2.5,-2.5,67.5,21,1
3,-1.5,70,19.5,0
4,0,65,21,0
4.5,-0.5,63,26,1
5,0.5,57,27,1
