@relation Weather_data

@attribute att1 numeric
@attribute att2 numeric
@attribute att3 numeric
@attribute att4 numeric
@attribute att5 numeric
@attribute att6 numeric
@attribute att7 numeric
@attribute att8 numeric
@attribute class {0,1}

@data
26.8,22.2,1006.2,8.1,10.9,19,34,21,0
34.6,32.9,1004.6,3.9,13.8,22,36,33.1,1
30.6,22.7,1015.1,12.6,9.3,17.1,42.1,19,0
10.4,5.3,1039.9,4.8,14.7,19,12.9,9,0
17.8,11.9,1030.4,9.2,6.6,10.1,24.1,10,1
19.7,13.6,1019.1,11.8,5,10.1,37,10.9,0
8.5,-0.8,1031.4,8.5,12.7,22,16,0,0
10.2,2.7,1032,6.9,13.5,22,17.1,6.1,0
4.8,-0.6,1030.1,4.4,7.2,10.1,19,-5.1,1
28.8,28.2,1018.6,0.9,9.7,18.1,34,19.9,1
2.8,-2.8,1039,4.9,14.2,18.1,7,1,0
9,4.8,1021.8,3.5,22.1,31.1,18,1.9,0
12.1,6.8,1020.7,10.8,7.8,13,30.9,3.9,0
10.4,3.9,1029.1,11.4,8.3,17.1,21,0,0
1.3,-5.9,1032.5,9.1,11,17.1,15.1,-7.1,0
22.3,18.5,1017.2,5.1,10.3,15.9,25,10.9,1
5.6,0.2,1020.8,5.5,9.7,12,16,-5.1,0
18.1,14.5,1016.9,4.7,9,15.9,28,10.9,1
19.3,16.2,1013.6,8.1,11.5,22,28.9,9,1
25.3,21.9,1010.2,7.5,12,22,42.1,14,0
15.3,9.2,1011,10,7,12,35.1,1,0
17.3,9.7,1023.5,8.7,8.5,14,25,12,0
29.4,28,1025.6,6.8,5,10.1,34,26.1,0
25.2,18.5,1028.6,9.1,7.4,17.1,37,17.1,0
33,29,1023.2,9.6,4.6,10.1,39,30,0
35,30.5,1023.8,11.1,7.7,12,44.1,28.9,0
41.9,36.1,1010.4,8.3,7,13,50,34,0
36.6,31.8,1019.9,9.4,8.2,17.1,43,33.1,1
36.2,33.5,1011.2,6.9,8.8,26,43,30.9,1
26.7,20.9,1025.1,10.4,10.1,15,32,21,0
24.4,18,1025.1,10.4,7.7,13,30,18,0
33.2,28.6,1023.1,6.3,4,11.1,37,30,1
13.9,5.3,1034.3,9.5,9.6,22,24.1,7,0
27.6,21.3,1022.7,8.4,7.9,13,36,21,0
44.7,36.7,1011.9,10.2,16.3,26,68,33.1,0
46.5,42.2,1006.8,7.6,12.3,25.1,53.1,42.1,1
50.7,34.3,1008.9,12.3,6.3,26,69.1,37.9,0
39.7,35.5,1005.7,9.2,16.2,22,54,35.1,1
37.8,30,1020.2,9.6,9.8,22.9,48.9,28.9,0
43,31.9,1020.4,11.4,5.8,13,53.1,36,0
43.1,32.9,1023,8,3.8,13,57,30,0
52.3,34.9,1008.1,14.3,9.9,22,68,39.9,0
50.5,33.2,1016.7,9.8,5.3,15.9,64,35.1,0
49.4,29,1021.3,11.2,8.6,13,68,34,0
55.7,36.3,1012.2,9.9,6.2,14,73.9,37.9,0
59.9,43.9,1003.5,9.3,8,17.1,73.9,48,0
44.4,38.3,1003.3,5.5,20.5,30.1,70,33.1,1
42.1,33.9,1019.5,11.3,9.2,22,62.1,30.9,0
56.3,47,1012.8,9.7,13.3,17.1,66.9,50,1
56.9,45.5,1014.1,11.7,3,14,72,48,0
68.4,53.5,1014.5,10.9,12.5,22,82,55.9,1
56.8,49.1,1001,9.5,14.2,22,64.9,50,1
74.8,64.1,1011,12.6,16.3,30.1,91,61,0
76.6,68.5,1012.5,13.4,16,22,84.9,69.1,1
62,56.8,1021.1,11.5,11.5,15.9,77,57,1
61.2,54.3,1021.8,12.3,9.1,17.1,68,54,0
61.2,52.7,1021.6,11.8,4.7,10.1,70,52,0
63.6,55.9,1021,13,4.3,10.1,75.9,51.1,0
71.5,62.2,1014.6,10.6,6.4,15,84,57.9,0
66.4,60.7,1014.7,10.7,5.4,13,75,60.1,1
62,56.3,1012.7,10.9,2.7,13,68,54,1
53.7,45,1021.5,11.4,2.4,13,64.9,43,0
72.2,64.9,1010.6,11.2,14.5,18.1,82,66,1
76.7,68.9,1004.1,11.9,17.5,27,84,69.1,1
