@relation Weather_data

@attribute att1 numeric
@attribute att2 numeric
@attribute att3 numeric
@attribute att4 numeric
@attribute att5 numeric
@attribute att6 numeric
@attribute att7 numeric
@attribute att8 numeric
@attribute class {0,1}

@data
25,23.1,1017.3,3.5,6.3,10.9,30.9,19.9,0
34.6,32.8,1009.5,0.4,4.8,8,37.9,30.9,1
36.9,33.4,1005.4,3.5,4.5,11.8,43.9,32,1
36.4,31.7,1014,5.7,5.9,11.8,43,32.9,0
27.5,23.6,1018.1,5.3,5.7,9.9,32,23,0
27.6,24.5,1015.4,4,6.4,9.9,38.8,23,0
38.8,30.5,1006.8,12,12.1,15.9,45,36,0
37,26.3,1004.7,12,13,19.8,45.9,27.9,1
28.3,19.8,1019.6,9.2,0.7,3.9,38.8,18.9,0
32,23.5,1018.5,11.2,3.6,11.8,39.9,23.9,0
25.8,20.8,1021.2,5.7,6.9,12.8,36,20.8,0
20,11.9,1023.4,10.7,12,15.9,27.9,14.9,0
22.5,13,1021.6,13,11.6,17.9,27.9,18.9,0
24.4,15.7,1023,12.3,9.5,15.9,32.9,19.9,0
25,18.4,1023.3,11.7,2.9,9.9,38.8,16.9,0
24.7,19.8,1027.2,7.4,3.7,11.8,32.9,19.9,0
27,20.1,1024.8,6.5,3.8,11.8,46.9,18,0
36,30.1,1010.1,4.5,7.3,10.9,41,34,1
32.3,29.2,1015.5,3,9.7,15.9,34,29.8,1
28.1,22.1,1028.3,5.4,8.9,12.8,32,23.9,0
21.8,15.5,1025.2,9.8,4.6,9.9,36,12.9,0
36.6,30,1012.8,11.3,2.4,8,54.9,27,0
40.2,34.1,1009.3,10.4,3.5,8,50.9,32.9,0
40.3,36,1011.2,7.4,4.3,9.9,45.9,36,1
36.8,30.7,1018.4,6.1,14.2,25.8,39.9,34,1
26.1,15.1,1025.5,12.4,8.6,19.8,32.9,21.9,0
22.6,15.1,1026.3,10.3,4.5,8.9,29.8,16.9,0
26,21.1,1022.5,7.1,4.7,19.8,34,21.9,0
23.1,14.1,1023.9,10.6,16.2,23.9,30.9,18.9,0
19.1,7.8,1030.7,12.4,6.2,15.9,36.9,9,0
34.8,22.2,1017.1,12.9,2.3,7,50,25.9,0
33.2,19.9,1010.2,13.2,11.2,24.9,43.9,27,0
14.4,0.9,1023,13.3,11.5,19.8,28.9,3.9,0
14,5.8,1028.8,14.4,1.2,7,25.9,7,0
21.1,13.7,1028.7,9.4,2.6,8,25,16.9,0
26,19.6,1019.8,8,8.6,17.9,32,23.9,1
26,19.8,1011.1,7.6,11.1,18.8,32.9,16.9,1
24.4,12.7,1024,12.8,4.3,11.8,48.9,11.8,0
38.6,19.4,1025.5,12.7,5.4,15,57.9,25,0
45.3,25,1017.4,13.4,3.9,8.9,61.9,30.9,0
43.2,28.9,1025.1,12.6,5.1,15.9,57.9,27.9,1
47.2,31.5,1020.1,12.4,7.9,19.8,57.9,36.9,1
43.3,30.2,1024,11.9,4,10.9,68,29.8,0
52.5,36.7,1012.3,11.5,1.6,8.9,68,37.9,0
46.2,31.8,1019.6,10.5,8.2,19.8,61.9,34,0
37.3,19.5,1029.8,11.1,6.8,17.9,54,23.9,0
50.4,28.9,1012.6,12.4,2.4,8,74.8,36.9,0
41.9,32.6,1012.4,7.2,5.2,8,54.4,32.9,1
31.9,28.9,1021.1,3.1,7,10.9,34,29.8,1
21.7,13.4,1033.6,8.5,12.2,17.9,30.9,14.9,1
17.8,6.8,1038.6,12,6,11.8,23,11.8,0
17.5,5.7,1037.3,12.9,2.2,8,27.9,10.9,0
24.6,11.8,1028.8,13.1,2.9,9.9,39.9,14.9,0
29.8,22.2,1022.7,9.6,4.7,10.9,37.9,23.9,1
30.4,26.3,1017.8,4.1,5.7,12.8,34,25.9,1
24.8,21.2,1018.5,3,5.6,15,28.9,18,0
11.5,6.1,1026.1,10.4,14.8,28,16,7,0
7.8,0.4,1036.9,12.8,5.3,11.8,18.9,-2,0
19.9,11.8,1030.5,13.4,7.2,14,43.9,9,0
44.3,30,1017.1,13.6,6.8,12.8,63.9,32.9,0
51.9,37.1,1014.7,12.4,6.9,16.9,70,36.9,0
58.3,48.7,1009.7,11,13.3,19.8,64.9,52,0
58.6,54.2,1015.2,6.6,6.6,15.9,63.9,54,1
54.4,51.3,1023.6,7.8,5.5,9.9,60.1,52,1
56.6,48.9,1025.3,9.9,2.1,7,73.9,45.9,0
60.5,47,1021.2,10.5,1.3,7,74.8,43.9,0
57.6,41.1,1023.4,13.1,6,14,70,47.8,0
54.5,43.9,1017.6,10.8,6,12.8,63.9,50,1
51.9,44.2,1009.6,7,5,10.9,70.9,41,0
50.4,41.6,1004.1,12.2,10,17.9,68,45,1
46.4,34.4,1008.1,13.4,3.6,10.9,68,32.9,0
51,37.3,1002,11.8,9.3,15,63.9,45.9,1
47.9,39.8,1012,8.3,6.2,11.8,55.9,38.8,0
48.7,35.7,1017,10.2,6.7,12,61,39.9,0
52.2,39.4,1011.6,8.9,10.3,15.9,57.9,48.9,1
54,45.8,1007.6,7.8,11,15.9,70,47.8,1
41.7,32.9,1008.8,12.7,13.9,21,55.9,36.9,1
39.9,30.2,1021.6,12.2,12.3,15.9,41.9,37.9,0
36.2,27.7,1025.8,11.4,10.2,15.9,41,32.9,1
32.7,20.7,1026.3,12.4,8.7,14,36.9,28.9,0
33.2,20.5,1023.9,11.6,1,5.8,47.8,21.9,0
45.4,26.9,1016.6,12.1,2.7,11.8,61.9,32,0
56.4,32.2,1012.2,13.5,4.6,12.8,81,36.9,0
58,37.4,1012.5,11.2,7.6,21,74.8,41,1
34.6,16.8,1026,11.9,5.6,22,59,25,1
45.5,24.7,1014.5,12.8,9.7,17.9,66.9,29.8,0
60.5,41.8,1009.2,13,9.3,19.8,74.8,50,1
57.8,45.5,1008.9,9.7,5.1,19.8,66.9,52,1
51.3,49.5,1006.4,4.1,6,8.9,61.9,43,0
43.9,43.4,1004.6,3.3,11.7,17.9,52.9,37.9,1
35.9,35.1,1010.4,5.9,8.8,18.8,37.9,32.9,1
37.4,36.6,1005.4,6.4,6.7,14,39.9,36,1
38.6,35.1,1008.1,9.7,13.8,19.8,50.9,34,1
46,33.5,1021.2,15,5.8,18.8,66.9,30.9,0
61.2,44.2,1009.2,13.4,10.5,17.9,75.9,52,0
62.9,42.9,1004.5,13.8,12,17.9,73.9,52,0
50.7,40.7,1013.1,10.8,7.6,15.9,66.9,45.9,1
46,38.7,1016.2,10.9,7.7,14,50,43,1
49.6,44.8,995.9,10.1,17.7,28.9,56.8,43,1
46.7,37.5,1014.1,11.6,10.3,25.8,59,37.9,0
48.9,43.1,1005.7,7.2,5.5,10.9,59,43.9,1
44,36.4,1010.7,9.3,9.5,12.8,54,38.8,1
48,33.3,1022.8,11.6,5.2,8.9,59.9,34.9,0
53.8,32.5,1020.1,12.6,3.7,5.1,61.9,45,0
